Date,AAPL,AMZN,DAID,FBBK,MSFT,TSLA,TWTR
2016-01-04,24.286829,636.98999,54.684765000000006,102.220001,49.681778,44.681999,22.559998999999998
2016-01-05,23.678214999999998,633.789978,54.677338,102.730003,49.908446999999995,44.686001,21.92
2016-01-06,23.214844,632.650024,53.288685,102.970001,49.001827,43.807999,21.389999
2016-01-07,22.235069,607.9400019999999,51.239117,97.91999799999999,47.297413,43.130001,20.26
2016-01-08,22.352646,607.049988,50.637619,97.33000200000001,47.442478,42.200001,19.98
2016-01-11,22.714584,617.73999,50.593059999999994,97.510002,47.415276,41.57,19.65
2016-01-12,23.04425,617.8900150000001,51.343078999999996,99.370003,47.850445,41.993999,19.620001000000002
2016-01-13,22.451775,581.8099980000001,50.674744,95.440002,46.816925,40.062,18.68
2016-01-14,22.94281,593.0,48.870235,98.370003,48.149632000000004,41.236,19.0
2016-01-15,22.391835999999998,570.179993,47.919715999999994,94.970001,46.227634,40.998001,17.940001000000002
2016-01-19,22.283485,574.47998,48.662308,95.260002,45.837790999999996,40.944,16.690001000000002
2016-01-20,22.313457,571.77002,47.385048,94.349998,46.04631,39.740002000000004,17.379998999999998
2016-01-21,22.200491,575.02002,48.729141,94.160004,45.765254999999996,39.993999,17.83
2016-01-22,23.380829000000002,596.380005,49.182128999999996,97.940002,47.406216,40.509997999999996,17.84
2016-01-25,22.924366,596.530029,48.342995,97.010002,46.952911,39.276001,17.02
2016-01-26,23.051157,601.25,48.335567,97.339996,47.297413,38.712002000000005,17.01
2016-01-27,21.536551,583.349976,48.959343,94.449997,46.436153000000004,37.613997999999995,16.780001000000002
2016-01-28,21.691008,635.349976,47.444454,109.110001,47.197708,37.939999,16.49
2016-01-29,22.440247,587.0,47.644958,112.209999,49.944695,38.240002000000004,16.799999
2016-02-01,22.230459,574.8099980000001,47.333065000000005,115.089996,49.600184999999996,39.388,17.91
2016-02-02,21.780920000000002,552.099976,46.657307,114.610001,48.049904,36.556,16.08
2016-02-03,22.212017000000003,531.070007,46.761265,112.690002,47.288353,34.695999,16.559998999999998
2016-02-04,22.39049,536.26001,45.253792,110.489998,47.143299,35.066002000000005,16.91
2016-02-05,21.792483999999998,502.130005,45.513702,104.07,45.475143,32.52,15.72
2016-02-08,22.021957,488.10000599999995,44.080494,99.75,44.795189,29.598,14.9
